artistName,SongNameClean,trackName,artistNamethe,Count
Before You Exit,silence,Silence,beforeyouexit,327
Imagine Dragons,enemy,Enemy,imaginedragons,286
Imagine Dragons,boomerang,Boomerang,imaginedragons,262
The Cab,lockmeup,Lock Me Up,cab,250
Imagine Dragons,idontknowwhy,I Dont Know Why,imaginedragons,246
Social House,magicinthehamptons,Magic In The Hamptons (feat. Lil Yachty),socialhouse,246
BoyWithUke,twomoons,Two Moons,boywithuke,200
Why dont We,stay,Stay,whydontwe,199
John K,parachute,parachute,johnk,196
Kanye West,heartless,Heartless,kanyewest,179
Imagine Dragons,machine,Machine,imaginedragons,178
The Chainsmokers,pushmyluck,Push My Luck,chainsmokers,176
Tate McRae,ruok,r u ok,tatemcrae,168
The Score,moneyrunlow,Money Run Low,score,162
The Chainsmokers,killsyouslowly,Kills You Slowly,chainsmokers,161
Coldplay,hymnfortheweekend,Hymn for the Weekend,coldplay,160
Stephen Dawes,losingyou,Losing You,stephendawes,146
Ellie Goulding,lovemelikeyoudofromfiftyshadesofgrey,"Love Me Like You Do - From ""Fifty Shades Of Grey""",elliegoulding,146
Ryan Caraveo,peanutbutterwaffles,Peanut Butter Waffles,ryancaraveo,145
YUNGBLUD,parents,parents,yungblud,144
Frawley,noonecanfixme,No One Can Fix Me,frawley,142
Social House,tropicalrain,Tropical Rain,socialhouse,141
Imagine Dragons,bulletinagun,Bullet In A Gun,imaginedragons,138
Who Is Fancy,goodbye,Goodbye,whoisfancy,136
New Hope Club,fixed,Fixed,newhopeclub,134
Imagine Dragons,whateverittakes,Whatever It Takes,imaginedragons,132
The Lumineers,ophelia,Ophelia,lumineers,131
Arctic Monkeys,doiwannaknow,Do I Wanna Know?,arcticmonkeys,131
5 Seconds of Summer,completemess,COMPLETE MESS,5secondsofsummer,130
Coldplay,yellow,Yellow,coldplay,129
The Chainsmokers,theone,The One,chainsmokers,129
Ber,meanttobe,Meant To Be,ber,128
Frawley,hardboy,Hard Boy,frawley,128
The Chainsmokers,seetheway,See The Way,chainsmokers,126
5 Seconds of Summer,youngblood,Youngblood,5secondsofsummer,126
Camila Cabello,badkindofbutterflies,Bad Kind of Butterflies,camilacabello,125
NIKI,lowkey,lowkey,niki,121
The Cab,moon,Moon,cab,117
Alan Walker,diamondheart,Diamond Heart,alanwalker,116
The Score,nevergoingback,Never Going Back,score,114
Imagine Dragons,lonely,Lonely,imaginedragons,114
Troye Sivan,strawberries&cigarettes,Strawberries & Cigarettes,troyesivan,114
PRETTYMUCH,eyesoffyou,Eyes Off You,prettymuch,113
The Cab,numbers,Numbers,cab,111
Ashe,moralofthestory,Moral of the Story,ashe,110
Shawn Mendes,stitches,Stitches,shawnmendes,109
Daya,insomnia,Insomnia,daya,109
Imagine Dragons,coolout,Cool Out,imaginedragons,108
Imagine Dragons,badliar,Bad Liar,imaginedragons,106
The Cab,standup,Stand Up,cab,104
Imagine Dragons,only,Only,imaginedragons,103
Zedd,themiddle,The Middle,zedd,103
Conan Gray,wishyouweresober,Wish You Were Sober,conangray,101
The Score,unstoppablerebelremix,Unstoppable - Rebel Remix,score,101
Mokita,withyou,With You,mokita,100
girl in red,summerdepression,summer depression,girlinred,100
Matt Hartke,londonssong,London's Song,matthartke,100
FINNEAS,newgirl,New Girl,finneas,99
The Score,onandon,On And On,score,98
Imagine Dragons,believer,Believer,imaginedragons,97
Imagine Dragons,westcoast,West Coast,imaginedragons,97
Imagine Dragons,nexttome,Next To Me,imaginedragons,97
Coldplay,myuniverse,My Universe,coldplay,95
5 Seconds of Summer,ghostofyou,Ghost Of You,5secondsofsummer,94
The Vamps,chemicals,Chemicals,vamps,94
Alan Walker,idontwannago,I dont Wanna Go,alanwalker,94
Charlie Puth,cheatingonyou,Cheating on You,charlieputh,94
Alec Benjamin,waterfountain,Water Fountain,alecbenjamin,93
suggi,"fucku,goodluck.","fuck u, goodluck.",suggi,93
Prateek Kuhad,cold/mess,cold/mess,prateekkuhad,92
Imagine Dragons,reallife,Real Life,imaginedragons,90
Arctic Monkeys,iwannabeyours,I Wanna Be Yours,arcticmonkeys,90
Dua Lipa,idgaf,IDGAF,dualipa,89
