artistName,trackName,Count
Before You Exit,Silence,327
Imagine Dragons,Enemy (with JID) - from the series Arcane League of Legends,286
Imagine Dragons,Boomerang,262
Zaeden,tere bina - Acoustic,258
The Cab,Lock Me Up,250
Imagine Dragons,I Don’t Know Why,246
Social House,Magic In The Hamptons (feat. Lil Yachty),246
Aditya Rikhari,Faasle,213
BoyWithUke,Two Moons,200
Why Don't We,Stay,199
John K,parachute,196
Kanye West,Heartless,179
Imagine Dragons,Machine,178
The Chainsmokers,Push My Luck,176
Tate McRae,r u ok,168
The Score,Money Run Low,162
The Chainsmokers,Kills You Slowly,161
Coldplay,Hymn for the Weekend,160
Shae Gill,Pasoori,147
Stephen Dawes,Losing You,146
Ellie Goulding,"Love Me Like You Do - From ""Fifty Shades Of Grey""",146
Ryan Caraveo,Peanut Butter Waffles,145
YUNGBLUD,parents,144
Frawley,No One Can Fix Me,142
Social House,Tropical Rain,141
Imagine Dragons,Bullet In A Gun,138
Who Is Fancy,Goodbye,136
Jasleen Royal,Sang Rahiyo (feat. Ranveer Allahbadia),135
New Hope Club,Fixed,134
Imagine Dragons,Whatever It Takes,132
The Lumineers,Ophelia,131
Arctic Monkeys,Do I Wanna Know?,131
5 Seconds of Summer,COMPLETE MESS,130
Coldplay,Yellow,129
The Chainsmokers,The One,129
Ber,Meant To Be,128
Frawley,Hard Boy,128
The Chainsmokers,See The Way,126
5 Seconds of Summer,Youngblood,126
Camila Cabello,Bad Kind of Butterflies,125
Amrinder Gill,Band Darvaze,124
A.R. Rahman,Param Sundari,123
NIKI,lowkey,121
The Cab,Moon,117
Alan Walker,Diamond Heart,116
The Score,Never Going Back,114
Imagine Dragons,Lonely,114
Troye Sivan,Strawberries & Cigarettes,114
Prateek Kuhad,Kasoor,113
PRETTYMUCH,Eyes Off You,113
The Cab,Numbers,111
Harish Budhwani,Saari Umar,110
Ashe,Moral of the Story,110
Joi Barua,O'Meri Laila - Radio Version,110
Shawn Mendes,Stitches,109
Daya,Insomnia,109
Imagine Dragons,Cool Out,108
Imagine Dragons,Bad Liar,106
The Cab,Stand Up,104
Imagine Dragons,Only,103
Zedd,The Middle,103
Conan Gray,Wish You Were Sober,101
The Score,Unstoppable - Rebel Remix,101
Mokita,With You,100
girl in red,summer depression,100
Matt Hartke,London's Song,100
FINNEAS,New Girl,99
The Score,On And On,98
Adnan Sami,Bhar Do Jholi Meri,98
Imagine Dragons,Believer,97
Imagine Dragons,West Coast,97
Imagine Dragons,Next To Me,97
Swanand Kirkire,Monta Re,96
Coldplay,My Universe,95
Pritam,Make Some Noise For The Desi Boyz,95
5 Seconds of Summer,Ghost Of You,94
The Vamps,Chemicals,94
Shubham Rangra,Aashiyana Mera (Group Song),94
Anurag Vashisht,Tere Jaane Se,94
Alan Walker,I Don't Wanna Go,94
Charlie Puth,Cheating on You,94
Alec Benjamin,Water Fountain,93
suggi,"fuck u, goodluck.",93
Amit Trivedi,Namo Namo,93
Prateek Kuhad,cold/mess,92
Prateek Kuhad,Tune Kaha,91
Imagine Dragons,Real Life,90
Arctic Monkeys,I Wanna Be Yours,90
Dua Lipa,IDGAF,89
Tate McRae,you broke me first,89
Adele,Rolling in the Deep,88
James Bay,Peer Pressure,88
Harry Styles,"Sunflower, Vol. 6",88
The Chainsmokers,Takeaway,87
The Score,Only One,86
Twin Strings,Dhalti Rahe,85
Tate McRae,bad ones,85
Hugo Helmig,Champagne Problems,85
Sam Smith,Diamonds,85
Imagine Dragons,Walking The Wire,83
